"fuid","text","labels"
"cdf19020-3a0c-eea3-db41-729b7d1a01f5"," btw) I can't even get the pubcenter income in my own currency","Business Operations--Globalization or Expansion"
"71091092-6938-8125-ec83-e878a81e4e8a"," but is says it is not connected to a developer account. Now that is exactly what I'm trying to do: get a dev account. I cannot understand why Microsoft gives such bad error messages.","Business Operations--Business Support|Learn, Try or Buy--Conversion or Registration"
"5f09a88c-b081-5229-f299-d291c431e232"," but it says ""You need to update your tax and payout information before you can charge money.""  It does not indicate any way to actually do that","Business Operations--Business Operations UI or UX"
"183fd6e8-b872-0aa1-ae01-2c563c7603ef"," but when we try to execute the payment it show us a problem. ""We can't add the payment method. Please make sure it hasn't been already added to your account. If you continue to get this message","Business Operations--Sales or Monetization"
"fe6b0f13-935e-0ac7-023c-3fb052ade4ab"," can I change my account type?","Business Operations--Cost Management"
"a3ee7e6f-2d52-2cca-7807-753aca781370"," how to open windows 10 phone emulator. how to open windows 10 phone emulator","Technical Operations--Coding or Building"
"d9d4b301-8de6-7f61-2622-567146f18678"," I am facing problem while paying amount for developer account for my company. I tried few number of times but couldn't do it. Please help us. Thank You.","Learn, Try or Buy--Conversion or Registration"
"642fafaa-49b3-0b6a-a661-728dcd16a2e8"," I can't pay the developer account","Business Operations--Sales or Monetization|Learn, Try or Buy--Conversion or Registration"
"1a6a9cd3-2dc8-4ccd-7ab2-6f1299166d32"," I cannot find this app in the store. Please help me to make it visible.","Business Operations--Marketing or Advertising"
"080883c1-e0e4-dbd7-ba30-9be53f19c92d"," I discovered that my games ""Sherman""","None--Other None"
"f902e3a2-5d41-978a-b8c5-6487b1536b7a"," I have a bizspark account. and want to apply a developer account when at the payment stage","Business Operations--Role Management|Learn, Try or Buy--Conversion or Registration"
"ff365239-35aa-78f1-2786-2c9b6095681e"," I have a problem - I think it is a bug of Store. In last app submission I localized title of application ""Currency Converter + News"" on all languages supported in application. And title is localized on devices when I change phone language. But application title is still not localized in Windows Phone Store!!! Why??? When title for my application ""Currency Converter + News"" will be localized in Windows Phone Store?? Also I see that all app names that I reserver for different languages for my app ""Currency Converter + News"" have status ""Reserved for this app"" but not status ""Currently in use""!!!    Best regards.","Learn, Try or Buy--Localization or Internationalization"
"25d1cd75-6667-03fe-9a72-c10767d0d769"," I really need a French language page/description as well. Can you add","Business Operations--Globalization or Expansion"
"cd85f76f-694b-e5c9-473b-ab0d805edcdb"," I want to make an add. But after I make the add and hit ""review"" nothing happens.","Business Operations--Marketing or Advertising"
"6d316d9e-b512-66c9-339c-2bf29793773b"," instead i have to open the store and change my region settings to the users and find his/her review nad report it as a user. But as a Dev i cannot do this and this is needed as many users leave unrelated reviews on my apps.","Business Operations--Role Management|Learn, Try or Buy--Localization or Internationalization"
"d80f6a7a-6064-9ea4-7e17-4289b069d6ec"," instead of just ""Windows Dev Center""? It's really hard to see which open tab is for which app.","Learn, Try or Buy--Learn, Try, Buy UI or UX"
"8b632ffc-6579-a998-a8e4-3f735045d741"," or is there some problem with my account?","Business Operations--Business Support|Business Operations--Role Management"
"a839c573-0d68-2dd2-b029-c5338f81d8c4"," or the address of the bank!  Why would I need to add the bank address when you can get it from the bank name and sort code? Yet why would there be a separate ""billing address"" below otherwise?","Business Operations--Business Operations UI or UX"
"0cae67cc-d255-565c-9642-bf4daeb013d9"," pending since last month","Business Operations--Business Analysis|Business Operations--Business Support"
"119b0388-b15c-3610-9451-a190c0e3fbf4"," please fix it otherwise I will and I think many other developers will leave windows platform","Learn, Try or Buy--Evaluation or Comparison"
"20f97cd9-8e86-8997-ae2f-6e58cc90e426"," quantity and that's it. An additional field for ""Subscription name"" would be a huge help. Right now I have to re-open the subscription after it has been created to change the name.","Business Operations--Business Operations UI or UX"
"f40dbbe3-800f-5d52-1eb2-73bb0f568268"," the ""Whisperings Support"" link navigates to the website instead of my provided contact email address. (Whisperings is the name of the App.)","Business Operations--Business Support"
"dd8b8c1a-5712-018d-665f-7a375c3569e7"," the number is not rising anymore. It is my money.","Business Operations--Sales or Monetization"
"010b61e5-5bdf-45bf-f94b-3a1a09bf1f01"," try with another payment method or contact customer service for assistance.   Error code    25055-hbRAIQAAAAAAAAAA-7c301e5e-bbe3-4552-87cd-18682da288cb","Business Operations--Sales or Monetization"
"770fc310-5381-17c5-abda-b579b8f2d414"," We try to upload xap file to windows dev center with our enterprise account. Bot when we upload xap file there is a warning named ""incomplete"" to our xap file. we searched internet but found nothing usefull. can you help us for app submission?","Technical Operations--Deploying or Launching"
"a2216a11-b1e7-4893-1d6a-93b963480ba0"," WP package has 1 language and default language is vi-vn - When i upload new package both Windows and WP have 2 language and default language are en-us - The Description add more another vietnamese (vi-vn) to Description language ","Business Operations--Globalization or Expansion"
"9246eca4-8b11-b46f-8c01-735615240b02"," you then need to select each language individually to add the Description from this page... Until then","Business Operations--Globalization or Expansion|Learn, Try or Buy--Localization or Internationalization"
"77c46fc6-1ef8-b10a-4e3a-edc4df07ea2a","""Change the Store search engine algorithm back, to as it was!"" . ""Change the Store search engine algorithm back, to as it was. To make it possible to actually find an app by its title.  I have made an app, when I search for it, 10 apps pops up, and my app isn't any of them. I just chatted to support, they told me that it was because the name was too generic. Well, the 10 apps showing when I search for the title, has NOTHING to do with the word I searched for, and the search word is the exact title of my app, and yet it doesn't show (not at all! Not even as number 11 in the list...) Only 10 elements (or so) is shown, and .... omg, this is just nonsens!""","None--Other None"
"d840d935-5e85-dff3-a70b-41d187ad562c","""Could you please have a report that includes the prices, before the final payment? Companies need to have the correct sales estimate. Thanks"" . ""Could you please have a report that includes the prices, before the final payment? Companies need to have the correct sales estimate for the accounts purposes. Thanks ""","Business Operations--Business Analysis"
"21beb64b-8d93-0a4b-7228-832fe4701c8b",".. The new MSDN Profile preview for me the history chart overlays the Statistics area. In general the web parts are not rendered correctly","None--Other None"
"25c756be-4e14-0ad6-8adc-191fcfa1c9a0","...""told us first that this only works on WP8""... , and nokia lumia 800 users are losers. WP 7.8","None--Other None"
"c70b63b4-6073-b43b-262c-7823d38c840a","[bug] - Cannot select visual studio online project for integrated source control on azure website project -- Repro:  - create azure website in the preview portal - in the dashboard, click to add continuous deployment (integrated source control). - select visual studio online as the source - you are presented with a screen where you are supposed to choose the project to be source control. this screen never shows any of the projects I have in VSO. See screenshot.","Technical Operations--Technical Operations UI or UX"
"75e61ef6-0119-37a2-9e94-49ecfd54e6a7","[Bug] [Continuous deployment] Disconnecting from source control doesn't work for me. What I've done: - Created a website with a standard plan in Western Europe - Created a Team Project on a Visual Studio Online account that's also in Western Europe and checked-in some code from Visual Studio. - Added a deployment slot named ""staging"" - Configured continuous deployment by selecting the Team Project I created previously - The deployment works fine, I can see my application when I visit the staging URL. - Here's the issue: I try to disconnect from source control by clicking the Disconnect button that's in the Deployments blade, but that doesn't work. The blade closes but then the continuous deployment tile in the staging slot shows a permanent loading animation. If I log out and log in again, I still see the same deployment information, as if I didn't click the Disconnect button at all. I can see an error in the browser console when I click the Disconnect button.  SCRIPT5022: DataCloneError File: UxFxManifestScript_0051206C.js, row: 1632, column: 85 09:09:06 MsPortalFx.Base.Diagnostics.ErrorReporter 2 window.onerror. ErrorMessage: DataCloneError [object Object] null ","Technical Operations--Technical Support"
"0fbdbfe6-ef21-5225-7284-2297d8db281b","[Bug] Cannot reliably edit the access control list for an endpoint of a VM -- I've created an endpoint, so I could access a particular service in my VM from the internet. Now, since this is not supposed to be publicly accessible, I've added my IP address to its access control list. More often than not, when I click the Save button it gets disabled, the console shows an error and then nothing happens. See the attached screenshot. You can see the error `Uncaught Error: Cannot write a value to a ko.pureComputed array. If you wish to read the current value, don't pass any parameters.` (among many others). ","Technical Operations--Other Technical Operations"
"63539dd7-bdbe-8aa2-f066-6b10c0585be7","[bug] Diagnostic Search doesn't show traces in sequential order. I made an application to send a sequence of traces with TelemetryContext.TrackTrace. I placed a session identifier in order to look for and display only the traces of a single user session.  When looking for the session id, the traces are displayed in the search results, but they don't appear in the same sequence i wrote them in the programming. Maybe this feature is either doing the sorting based on the date the traces are received rather than the date they were created during the application execution, or the date format used to store the date hasn't enough precision.","Technical Operations--Technical Support"
"6e557006-416f-8197-c93c-62a4eba52838","[Bug] VM connect button downloads an .rdp w an address syntax error in it -- VM connect button in new portal downloads an .rdp w an address syntax error, so not functional.  Saw it when I got VM to show up on dashboard, opening it, and Connect.  Old portal VM connect works fine. ","Technical Operations--Technical Operations UI or UX"
"668561c2-34e0-bfba-8241-8bd975acee7c","[XAML] How to Cache a Image of a URL for Image control. Hi,    How to do a image cache of a url  for Image control ?        Thanks,","Technical Operations--Coding or Building"
"b836f9e9-7561-af9a-6458-d858a7672fa9","`Break Glass and Pull Switch` feature for account -- Currently, if an account has been compromised, the hacker will have the ability to delete subscriptions, storage accounts, etc. including backups. So, there has to be an option where a customer should be able to disable subscriptions, so that no changes can be made and limit the amount of damage that can be done.  Once an account has been disabled, there should be an alternate way where the customer can be authenticated and the subscription handed back to them.","Business Operations--Role Management|Technical Operations--Other Technical Operations"
"bbac051f-a4bf-d146-074c-cae08ff5d8fd","1- Why did you remove the total downloads? 2- Why limited to 12 months?  At least include option 1 for the developers. I've been a windows phone developer for years and these are critical features for us!","Business Operations--Business Analysis"
"6d1b1618-d4d3-c448-243e-6c3637c76506","1. Clicking ""Save"" (when editing descriptions etc) shouldn't take me back to the overview screen. If I want to do that, I'll explicitly do so. If I'm updating text and images, it's quite annoying to save my intermediate work, and then have to renavigate.  2. After uploading screenshots it's quite natural/normal to want to re-order them. Attempts to do this by dragging into the new order seem to result in actually overwriting the original image - i.e. if the original order was A, B, C then after dragging C to the beginning, I get C, B, C (though whilst trying to fix this, I lost confidence that the thumbnail shown is always the image in that slot!).","Technical Operations--Technical Operations UI or UX"
"004cea95-4c0f-0832-8706-2a2bfe0ef862","2 Consecutive broken disc drives on new Xbox one consoles . I recently purchased a new xbox one console. After I had gone through the set up, including the lengthy initial updates, I discovered that the disc drive didn't work as when I inserted a disc it made a grinding noise and failed to recognise that there was a disc in it. The following day I returned to the shop and they replaced the console. Once I got home and went through the set up again I discovered this second console had the same issue.  Consequently I had return to the shop and got a second replacement (third console).  As a result of this I have incurred extra costs by exceeding my data download limit in addition to the travel costs of getting to the shop two additional times.   I am wondering if there is any way of receiving some form of acknowledgement of the issues I went through and potentially some compensation for the costs I incurred.","Learn, Try or Buy--Other Learn, Try or Buy"
"07629928-d389-9fad-d6b9-33ade55d0f3c","2015-12-02 UWP submitted application status: has added app store. Application name: Isimlar store search does not find any time added to the app store? ","Technical Operations--Deploying or Launching"
"b91a5a0f-3cad-770b-0284-e5dfa21f6550","3RD PARTY UI CONTROLS . Telerik, Xamarin, Infragistics are all bleeding edge windowsPhone adopters and  all make 3rd party UI components that should be able to be used in app studio. DataGrids, Carousels, Jump Lists etc...   Easy to theme, already created templates...","Technical Operations--Coding or Building"
"a0d1d02a-5ae9-e2ff-d1b0-66931b4134fb","A ""my bought games"" list . A list of ""my games"" that aren't installed on the console but are just bought in the Xbox Store. So it is more easily to install them later rather searching of in the Store of the game which name you've forgotten. Because you've 'bought' it as a Games for Gold game about six months ago.  An idea of integration might be within the current ""my games"" list that only shows the installed games at the moment.","None--Other None"
"5655ae00-8e92-1709-dd19-8dcc22c12e6e","A free App of the week and/ or a song. -- It would be pretty awesome. the iphone does it and mostly android apps are free anyways.","None--Other None"
"36a8b859-67a4-5659-e007-dc713fd6dbbf","A library of all gametrailers released. . There are countless trailers out for upcoming Games as well as already released ones. A category for trailers sorted by games would be great to be able to watch all official trailers without searching the net.   ","Learn, Try or Buy--Other Learn, Try or Buy|Learn, Try or Buy--Evaluation or Comparison"
"37397f26-b9a1-cd68-fd81-6b3663e8343f","A Possible way of how to handle the Digital Store and Digital Sharing. For a super simple way to look at all I'm about to talk about, check out this diagram I made:  http://oyster.ignimgs.com/wordpress/www.ign.com/1587/2014/02/digishar.jpg  Apparently my description and ideas were too long to fit in here, so I'll just link my original Blog about how I would handle it. Just scroll down to the ""Digital is Expensive"" section:  http://www.ign.com/blogs/spock-nz/2014/02/11/one-month-in-part-2-always-online-and-digital-is-expensive/","None--Other None"
"9bc78dcd-6a20-6d96-9ad3-4a82457ce55c","A report that lists which promotion codes have been redeemed.","Business Operations--Business Analysis"
"5ded182c-91e9-5e55-839d-35ae3525faec","a tab in add ons that only shows games you have installed. I just want to see game add ons i own it puts me off looking for dlc as i have to scroll through page after page of music based game add ons ","None--Other None"
"7d8fb9ab-94fc-790c-990f-ea1e55d65e21","A template that accepts and stores user input -- I've got a few app ideas that I want to develop. I've built the interface for two of them and have most of the code in place but I don't know how to accept and store user input. The goal would be to let somone enter data in a textbox, save that to a table locally, then have it optionally sync to SkyDrive.","Technical Operations--Design or Drafting"
"0e512857-de2a-542e-3550-aeb9b1730d3c","A way to track which specific keyword resulted in each specific conversion (also where in the world and when the click occurred). . Similar to Google Adwords parameter based URLs, seen here:  https://support.google.com/analytics/answer/1033867?hl=en","Business Operations--Business Analysis"
"43fe6f9f-29aa-0d82-229e-bb6b346d7a26","A wired failure happens at """"Registration - Account Info"""" page when click Next then """"Billing"""" frame of the """"Payment"""" page has the whole """"Dev Center"""" page in the fame (nested - a whole page in a part of the page).  I tried various browser - IE  Edge  Chrome (cookies on off) and on various PCs. I got the same result from them all. Please investigate and fix ASAP.","Learn, Try or Buy--Conversion or Registration"
"4632bb84-1e72-00a7-2d3a-3f7e160f8a8a","AAD Federation Request: Skillsoft -- I have an enterprise customer with an interest in federating with Skillsoft through AAD.","Technical Operations--Integration or Compatibility|Learn, Try or Buy--Awareness or Learning"
"efe55db7-4503-8ee4-1a5c-d9461f298aba","AAD Federation with Haiku -- Haiku is used heavily in EDU.  The support various forms of Federation today with EDU customers but no connector in Azure Applications.","Technical Operations--Integration or Compatibility"
"53bcf5ab-2491-647a-0f66-83b2d7a55b8b","Ability to access detailed information regarding an error code via the console . I've heard of the PlayStation 4 that you can see a summary of error codes and be able to hit a button on the system. It will also automatically go to the page on the PlayStation Help Support to give you tips on how to fix it and make sure the error code never comes up again. That is until you hit a button on the controller, please do this for the Xbox One in a future system update. If any other Xbox One gamers are seeing this and agree with this thread put up a vote to show that i'm not the only one.   [Mod edit: Title changed from ""A New error code summary for Xbox One.""]","None--Other None"
"5a153ae0-12fb-f3d0-3da7-8b4f64883632","Ability to add app parts and custom actions to host web from App Catalog deployment -- Currently when you deploy an app from the App Catalog any app parts or custom actions in the app are not deployed to the host web. It would be great to have this. ","Technical Operations--Coding or Building|Technical Operations--Integration or Compatibility"
"271317c9-c4e3-ccbc-f613-60cf51c2f740","Ability to add search within the app -- We need to be able to add a search button for users to search within the app.  Thanks","Technical Operations--Coding or Building"
"fabbfb1a-4d87-9aa8-8b87-cf8fb6fcbdc1","Ability to change currency for payouts. Russian Devs will praise you guys. . Some countries have unstable local currency and it will be better to get payouts not in local currency.   For example Rubles get down on ~50% compared to USD after 4 months at the end of 2014. Therefore devs in Russia will loose about 50% of their income.","Business Operations--Business Operations UI or UX|Business Operations--Sales or Monetization"
"5dd2be49-c7b3-d9bd-e4dc-f242c60b6a69","Ability to change the title of the app to an image or logo. Have the option to keep/remove the logo at the top page of the app.  For the text (title) that shows next to the logo, have the ability to insert an image or logo.  As it is now, you can only upload a square image for the logo and have text as the title.  This would allow the user to use a rectangular logo or image as the title of the app. Not all logos use the default font style and changing this would give the app a more personal link to it's website/company/etc.","Technical Operations--Design or Drafting"
"27383eb3-987d-d3d5-58cb-b1ef285ab50d","ability to disable delete for child accounts . Kids love button mashing and anything that looks important there should be a option to disable child accounts from accessing console settings and uninstalling programs (games, apps, save data if possible)","None--Other None"
"e53768b3-fa31-623a-3ab9-c2eb2567e681","Ability to download manuals when downloading digital games on Xbox 360 . When downloading games from the Xbox game store they should include the manual in the download and save it on the Xbox instead of going online and looking there.","None--Other None"
"1a894a2a-6d41-a410-cbdf-4f3e52c3f0e8","Ability to duplicate sections and copy/paste or move datasources and pages between sections. Please allow to easily duplicate sections.  Also allow to easily copy/paste or move data sources and pages between sections! This would allow a greater usability of the App Studio!  Thanks!","Technical Operations--Design or Drafting"
"a239d190-6d3d-9cfa-76a5-63b048fc08bf","Ability to filter our 401 Failed Requests in Application Insights -- When monitoring an application that uses NT Auth 401 request failures are expected because it is part of the authentication process. But it makes it really hard to find real failed requests because their are so many 401 failures in the failed request section.","Technical Operations--Technical Operations UI or UX"
"8eb83a24-d267-005a-9cc3-8b728ce7e244","Ability to go back after generating the app. -- I generated my application before it was done to see the process and have not been able to figure it out how to go back.","Technical Operations--Technical Operations UI or UX"
"afd76c2a-1bd4-9be4-c5c9-b15552cbe32a","Ability to install apps without opening it separately like in android. This saves time while installing apps after a hard reset. . It is present in the play store where we can install without going into an app. Installing directly from the lists.","None--Other None"
"9a4b9c75-1b0a-b771-7128-a3ba3988fd7b","Ability to move resources from one resource group to another -- In regard to Resource Groups, there is a particular feature I feel is missing: the ability of moving one resource from a resource group to another. Basically, the situation is like this: upon the lauch of the new portal, each of my Azure storage accounts and websites I've been using was added into a single Resource Group. Therefore, website A which was consuming data from a storage account with a similar name (A) ended up into two different Resource Groups: Default-Storage-NorthEurope and Default-Web-NorthEurope. Right now, whenever I navigate to the Resource Groups blade I get lots of generic named resource groups which are impossible to manage. What I'd love is to be able to move resources from one Resource Group to another and delete the first resource group completely afterwards.","Technical Operations--Technical Operations UI or UX"
"7fae84b9-05fb-0fa8-1d6f-b5375b445091","Ability to open multiple blades in the split mode -- Please add posibility to open two services of the same type in the split mode. I mean, for instance, webapp1 on the left, webapp2 on the right with all features and tabs accessible for all opened services. This would provide easier comparison of features, dashboards etc.   This also could be managed by allowing user to open seperate blads on separate browser tabs","Technical Operations--Technical Operations UI or UX"
"8864d444-9885-649c-0bf3-c7e1ae6137ed","Ability to pay using payment options stored on phone. Add a payment option where you can add your phone number so you can pay for xbox games and avatar stuff using any cards on your phone. And if you click purchase, a email is sent to you with a link to confirm. Good idea?","None--Other None"
"7f57d440-65fa-5ebc-08e9-fd670ff9c53e","Ability to port subscription across regions -- I currently have a long running support ticket with Microsoft with regards to paying a bill in NZ from Australia. Apparently I cannot use an Australian credit card and any attempts to pay the bill with International Transfer have been fruitless.   We can migrate Xbox Live accounts across regions, so why can I not move my Azure subscriptions?","Business Operations--Business Support"
"d73fbf0d-e7c9-83f1-02ac-c96654270b38","Ability to power down or stop all resources associated with a resource group -- It would be nice to be able to power down all VM's, stop all services, etc associated with a given resource group with a single click.  And similarly to power back up all resources.  That would make shutting down resources when not in use and restarting them much easier and less cumbersome.","Technical Operations--Technical Operations UI or UX|Business Operations--Cost Management|Technical Operations--Deploying or Launching"
"10920235-d6b7-5949-74be-85f913e62d26","Ability to Remove Apps from History -- I'm been experimenting with different apps in Windows Phone, and some of them really suck. Whenever I go back to my app history list, half of it is apps I care about and the other half are apps that should never have passed certification. I wish there was a way to remove those junk apps from my history.","None--Other None"
"75fc76c5-accb-e5e9-60b3-36d7a386f01f","Ability to run and use an emulator image in as a remote VM -- A developer should be able to run an emulator instance outside of the developer's environment, and be able to connect/deploy/debug into that remote VM.  Potential scenarios: - Developer doesn't have SLAT on their machine and wants to run the VM on a SLAT capable machine/server - Developer is running their dev environment in a virtual environment (e.g., local Hyper-V, remote Hyper-V, Parallels) and wants to run the emulator in another child VM on the same physical host they are running on (since she can't run a VM inside of a VM) - The ability to run a dev environment fully remote","Technical Operations--Other Technical Operations"
"872d9fef-c3ee-fafc-5418-63a4ea6ceda4","Ability to set user language preferences. This is for SPO When we have multilingual organization users MySites are being created in one default language. If users need to have the site in different language they need to manually set up their language preferences and then add the prefered language to their OD4B site as well.  With recent release we now have ability to add languages to webs but we still cannot modify user language settings in bulk.","Technical Operations--Technical Operations UI or UX|Technical Operations--Design or Drafting"
"74e0408a-3b3f-e561-ccd8-8950d9ac9fb7","Ability to trigger refresh of Pivot Tables via the Excel Apps for Office APIs -- Pivot Tables and Pivot Charts are one of the most powerful and used elements of Excel. Many Apps developed for Excel will benefit from being able to force a pivot table refresh after bringing new data into a workbook. Not being able to do this makes for a poor user experience for Apps that require Pivot Tables as a user has to manually refresh pivot tables. Many basic users will not know how to do this or will want to know why they should need to.","Technical Operations--Coding or Building"
"aed1554b-1353-a85b-0bf2-c50b5b9ad734","Ability to upgrade all Apps in environment on update in App Catalog via Store or Side load -- Currently when you deploy an App, any instances of the App will not upgrade until manually done via User Interface. It would be great to be able to Upgrade the App in the App Catalog from the Store or via Side Loading and it upgrade all instances at once.","Technical Operations--Technical Operations UI or UX|Business Operations--Cost Management|Technical Operations--Deploying or Launching"
"a175b895-c486-1cdf-1d03-a1a091458c93","Able to monitor transaction usage -- Partner urgently request the feature to monitor transaction usage of both Access Control and storage for billing and cross-charging purposes. Is there a solution to determine the number of consumed transactions? Thx","Business Operations--Cost Management|Business Operations--Business Analysis"
"b06678ee-929e-f469-71d7-6b92f4915041","Able to pin any item or vm to the dashboard -- Able to pin any item or vm to the dashboard and also live tiles e.g to be able to see the vm on the tile running for example you could see it installing an program","Technical Operations--Technical Operations UI or UX"
"cfa67515-7fd5-ff6c-ea5d-2a11da2c41fa","Abolish the Microsoft Points system for purchases/rentals. Use local currencies. -- Microsoft Points make it difficult to judge the actual cost of a product, and make it impossible to make purchases without any left overs.","Business Operations--Sales or Monetization"
"355d93c5-c321-a732-6e29-2a0871af5c1a","About available languages (localization) in description (header) on Xbox Store. 1. For EACH game sold in Xbox Store (live), it is mandatory to reflect the information about available languages in the purchased game (if available localization). Last week, several games were bought at a discount. Due to the fact that the region was chosen Russia - all game description on the website xbox.com was also in Russian. For a potential buyer of the game in the store raises the question - ""Does the game have Russian language?"" Availability language detected AFTER purchase, in consequence of which there is a reference to the Microsoft support group for claiming a refund. If the title of each game were given ""available languages"": A) The buyer would know in advance what language is available for this game. B) Due to the fact that the person knows what languages +óGé¼GÇ¦+óGé¼GÇ¦are available - dramatically reduced claims for refund. This is beneficial for both Microsoft and also for buyers.  2. Also the question ""whether to buy Gold Status?+é-+ if most of the games are sold at discounted rates in English. For regions with limited knowledge of the English language - no need to buy Gold status? Groups involved in the localization of games, you need to devote more time to translate games - will dramatically increase sales of games in other regions and selling Gold status.","None--Other None"
"a28904ed-3f16-b203-8314-b934aa896f6f","Accept 1-star ratings only with a review -- If the user wants to rate an app with 1 star, he should be asked to give an explanation. This would help developers to improve their software and will decrease fake ratings provided, for example, by nasty competitor developers.","Business Operations--Marketing or Advertising|Business Operations--Business Analysis"
"ced1dae8-b7aa-e22c-ba72-c35ebd850c39","Accept App Only Tokens in Project Online. Currently the API's for Project Online (_api/ProjectServer and _api/ProjectData) don't appear to accept App Only tokens, even if the App identity has the requried permissions.  We have customer scenarios that require non-user-interactive actions to be taken in Project Online on a timer or in response to Remote Event Receivers calls from Project Online.  Thanks,    James.","Technical Operations--Coding or Building"
"28245220-37a7-8514-351a-c4208d85dbb7","Accept national credit card -- In Brazil, not everyone have a international credit card, so they can't create a Windows Azure account.","Business Operations--Sales or Monetization"
"3892c115-14a9-7562-9fe1-712c88f4c35a","Access restricted sorry","None--Other None"
"6394a2fa-1169-9cd2-1919-03b8008b57d2","Access the Azure bill -- I would like to make an app to help users understand their bill and perform analytics togive advice, for this I'm looking for a way to retrieve the bill programmatically","Technical Operations--Integration or Compatibility|Business Operations--Business Analysis"
"ad042179-b397-c362-ad61-782cee6a5ceb","Access video-music library -- Ensure access to video/music as for photos. We cannot create applications for video editing or video sharing via messages or social networks.","Technical Operations--Integration or Compatibility"
"c34bf64a-7fbd-0661-dbad-d1fd12efa460","Accomplish to fix a large image inside of a scrollbar on the screen?	I have a ScrollViewer with an Image Control in it. It displays a rather large image. I want my user to be able to zoom into the image using gestures. I therefore enabled the ZoomMode on the Scrollviewer. I like how display the image when it's disabled the Scrollviewer, because the image fits on the screen.      However the Scrollviewer automatically scrolls back to the left ""edge"" of the image whenever the user releases its finger, making effectively zooming in and out of the image impossible. I also tried changing the visibility to auto, but when I do this, the image is expanded and I'd like to have it fit on the screen.","Technical Operations--Design or Drafting"
"756557b2-e912-8f0d-e3e7-1f43bf78ac05","Account bundles (Family or a custom Group) . offer bundles similar to the family plan where there is a bundled price for having multiple accounts. even add options to have more than 4 accounts just add a proper price accordingly.. my household has opened i believe 7 different accounts and paid for 5 of them...and now we're down to 3 why not give us a deal to use all or any accounts we want to use without paying a full 60$ on each one, that stacks up pretty quick.. there really isn't a legitimate reason (as far as i know at least someone could inform me) why they can't give us a bundle or discounted deal... the only reason i can see sadly is greed..","Learn, Try or Buy--Evaluation or Comparison"
